epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.0088,1.08201,3.04861,1.50367,0.00625,1,0.35884,0.2615,0.71606,3.20956,1.11931,5.716e-05,5.716e-05,5.716e-05
2,93.981,0.93786,2.85931,1.39637,0.00598,1,0.59884,0.45141,0.72065,3.22066,1.11802,0.000127337,0.000127337,0.000127337
3,128.131,1.08164,2.40782,1.43203,0.00614,1,0.66155,0.53242,0.63795,2.98349,1.02099,0.000196099,0.000196099,0.000196099
4,164.325,0.99063,1.94011,1.36329,0.0066,1,0.79123,0.63025,0.64944,2.82249,1.03867,0.000263446,0.000263446,0.000263446
5,199.023,0.98887,1.71044,1.3409,0.0096,1,0.87641,0.71777,0.65002,2.79061,1.04177,0.000329379,0.000329379,0.000329379
6,231.086,0.97091,1.45315,1.32653,0.29482,1,0.91834,0.77055,0.64386,2.68311,1.04393,0.000393897,0.000393897,0.000393897
7,262.868,0.96781,1.38249,1.34105,0.95263,0.61107,0.95002,0.77973,0.70389,2.27581,1.08368,0.000457,0.000457,0.000457
8,294.778,0.95306,1.30118,1.31427,0.96439,0.6886,0.91196,0.69955,0.92628,2.3577,1.20003,0.000518688,0.000518688,0.000518688
9,326.617,1.07183,1.35796,1.44568,0.8549,0.59308,0.88038,0.59357,1.49889,2.54165,1.85466,0.000578962,0.000578962,0.000578962
10,358.481,0.97387,1.38028,1.34254,0.88424,0.89352,0.92244,0.69802,1.23191,2.31554,1.48288,0.000637821,0.000637821,0.000637821
11,390.496,1.05072,1.33859,1.34111,0.85995,0.89158,0.92932,0.66868,0.89899,1.94402,1.21596,0.000695266,0.000695266,0.000695266
12,422.369,1.0305,1.27436,1.42432,0.88649,0.87373,0.96539,0.76536,0.84991,1.92486,1.17759,0.000751295,0.000751295,0.000751295
13,454.819,1.01544,1.22445,1.31513,0.87124,0.94295,0.97353,0.74188,0.88819,1.70052,1.19189,0.00080591,0.00080591,0.00080591
14,487.309,1.00006,1.22466,1.30309,0.95127,0.96054,0.98089,0.74969,0.93859,1.42246,1.31017,0.000859111,0.000859111,0.000859111
15,519.767,1.06295,1.26088,1.35339,0.85646,0.88625,0.9287,0.71909,0.87999,1.46057,1.32171,0.000910896,0.000910896,0.000910896
16,551.81,0.9467,1.17041,1.31791,0.83716,0.95402,0.92721,0.71755,0.86748,1.48124,1.27916,0.000961267,0.000961267,0.000961267
17,584.086,1.00595,1.17074,1.31456,0.8598,0.91069,0.95433,0.70012,0.86573,1.51563,1.29229,0.00101022,0.00101022,0.00101022
18,616.291,1.03517,1.31425,1.42571,0.93472,0.89858,0.95943,0.66993,0.9281,1.50773,1.27129,0.00105776,0.00105776,0.00105776
19,648.447,0.96775,1.17049,1.2847,0.90493,0.9017,0.96678,0.73272,1.05776,1.59667,1.36257,0.00110389,0.00110389,0.00110389
20,680.716,1.07898,1.25064,1.38582,0.83399,0.89993,0.92792,0.7368,0.8057,1.33876,1.15264,0.0011486,0.0011486,0.0011486
21,712.645,1.04027,1.20187,1.32292,0.88671,0.95093,0.96745,0.7538,0.80442,1.35751,1.1377,0.00114606,0.00114606,0.00114606
22,744.898,0.98292,1.09877,1.33603,0.85261,0.9503,0.95871,0.74679,0.81964,1.56051,1.13052,0.00113191,0.00113191,0.00113191
